"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","6.189840","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","3.221492","0","3"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","3","3","1","13.239836","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","7","9","1","30.904900","0","9"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","2.693393","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","25","25","1","48.780113","0","25"
"/Game/Assets/Models/Meshes/lambert8.lambert8","0","3","3","1","8.593901","0","3"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","14.939591","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","33","33","1","108.161865","0","33"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","333","356","1","1019.659180","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","19.979618","0","6"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","6","1","20.418688","0","6"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","6.950237","0","3"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","4.171527","0","3"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","88","88","1","2403.011475","0","88"
"/Game/Assets/Models/Meshes/M_glass.M_glass","0","3","3","1","0.000000","0","3"
"/Game/Assets/Models/Meshes/lambert1.lambert1","0","3","3","1","0.000000","0","3"
"","0","1","0","1","0.000000","3","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","12","1","33.670315","0","12"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","3.038744","0","3"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","41","46","6","131.659912","0","46"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","6.724136","0","5"
"/Game/Assets/Models/MiscMats/grassPatchy/M_grass.M_grass","0","22","22","2","49.490631","3","28"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","6","7","1","14.003014","0","7"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","2.746337","0","2"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","6","6","1","16.930708","0","6"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","12","14","1","40.216625","0","14"
"/Game/Assets/Stylized_Nature_Set/Materials/M_Grass_Master.M_Grass_Master","0","26","28","1","83.850624","0","28"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","12","14","1","40.562000","0","14"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","9","9","1","21.582298","0","9"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","13.461731","0","6"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","57","63","1","137.953659","0","63"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","110","128","6","512.019714","0","128"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","33","36","1","53.333004","0","36"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","33","36","1","0.000000","0","36"
"/Game/Assets/Characters/Materials/Franklin/M_hatStripe.M_hatStripe","0","6","6","1","9.403735","0","6"
"/Game/Assets/Characters/Materials/Franklin/M_overalls.M_overalls","0","6","6","1","2.444368","0","6"
"/Game/Assets/Characters/Materials/Franklin/M_foxBrown.M_foxBrown","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Franklin/M_eye.M_eye","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Franklin/M_wheat.M_wheat","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Franklin/M_foxOrange.M_foxOrange","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Franklin/M_eyeGlint.M_eyeGlint","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Lottie/M_earring.M_earring","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Lottie/M_bunnyLight.M_bunnyLight","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Lottie/M_bunnyDark.M_bunnyDark","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Lottie/M_eye.M_eye","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Lottie/M_eyeGlint.M_eyeGlint","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Lottie/M_boot.M_boot","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Fig/figEyeGlint_shader.figEyeGlint_shader","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Fig/figEye_shader.figEye_shader","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Fig/figMain_shader.figMain_shader","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Fig/figLight_shader.figLight_shader","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Barb/M_badgerDark.M_badgerDark","0","6","6","1","0.000000","0","6"
"/Game/Assets/Models/Meshes/lightBrown.lightBrown","0","3","3","1","4.862370","0","3"
"/InterchangeAssets/gltf/M_Default.M_Default","0","110","128","6","616.773865","0","128"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","21.948330","0","10"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","102","112","6","536.230225","0","112"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","6","6","1","16.196840","0","6"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","9","9","1","9.979377","0","9"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","14.238935","0","6"
"/Game/Assets/Models/Meshes/lambert9.lambert9","0","3","3","1","6.052654","0","3"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","102","112","6","526.238586","0","112"
"/Game/Assets/Models/Meshes/lambert2.lambert2","0","3","3","1","0.000000","0","3"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","82","92","6","269.029785","0","92"
"/Game/Assets/Models/Meshes/lambert7.lambert7","0","3","3","1","5.126155","0","3"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","6","6","1","10.950483","0","6"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","6","6","2","28.720915","0","6"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","28","28","2","813.894287","0","28"
"/Game/Assets/Stylized_Nature_Set/Materials/M_layered_Master.M_layered_Master","0","12","12","2","20.485880","0","12"
"/Game/Assets/Models/Meshes/M_stove.M_stove","0","3","3","1","7.826131","0","3"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","8.704234","0","5"
"/Game/Assets/Models/Meshes/darkBrown.darkBrown","0","3","3","1","8.696195","0","3"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","7.351615","0","2"
"/Game/StylizedEnvironment/Material/Material/M_GrassMaterial.M_GrassMaterial","0","120","132","3","549.512085","0","132"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","6.462455","0","2"
"/Game/Assets/Materials/M_Skybox.M_Skybox","0","3","3","1","13.188256","0","3"
"/ControlRig/M_Manip.M_Manip","0","6","7","1","22.983877","0","7"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","57","63","1","209.588303","0","63"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","54.084278","0","25"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","9.198121","0","5"
"/Game/Assets/Materials/M_CelShader.M_CelShader","0","5","5","1","4.956997","0","5"
"/Game/Assets/Models/lambert5.lambert5","0","3","3","1","8.521486","0","3"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","6","7","1","24.282312","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","4.524417","0","5"
"/Game/Assets/Models/Meshes/M_stovetopMetalBurner.M_stovetopMetalBurner","0","3","3","1","7.583282","0","3"
"/Game/Assets/PNGs/mooMaterial.mooMaterial","0","14","16","1","54.973366","0","16"
"/Game/Assets/Stylized_Nature_Set/Materials/M_Leaves_Master.M_Leaves_Master","0","28","32","1","150.992340","0","32"
"/Game/Assets/Models/MeshMats/lambert8.lambert8","0","3","3","1","9.531195","0","3"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","170.162323","0","30"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","0","13","13","1","29.033176","0","13"
"/Game/Assets/Models/MeshMats/burgundy.burgundy","0","3","3","1","8.853451","0","3"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","0","13","13","1","35.038288","0","13"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","24","24","1","57.243378","0","24"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","184.310074","0","32"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","0","23","25","1","80.055229","0","25"
"/Game/Assets/Models/Meshes/lambert5.lambert5","0","3","3","1","7.997322","0","3"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","0","23","25","1","71.706123","0","25"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","178.693817","0","32"
"/Game/Assets/Models/MeshMats/cartBase1.cartBase1","0","3","3","1","8.357832","0","3"
"/Game/Assets/Models/Meshes/lambert11.lambert11","0","3","3","1","8.290549","0","3"
"/Game/Assets/Models/Meshes/lambert6.lambert6","0","3","3","1","9.236833","0","3"
"/Game/Assets/Models/Meshes/lambert3.lambert3","0","3","3","1","8.377503","0","3"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","0","13","13","1","25.495022","0","13"
"/Game/Assets/Models/MeshMats/leaves.leaves","0","3","3","1","8.718102","0","3"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","14","16","1","64.849716","0","0"
"/Game/Assets/Models/MeshMats/lambert13.lambert13","0","6","6","1","20.412043","0","6"
"/Game/Assets/Models/MeshMats/lambert1.lambert1","0","3","3","1","0.000000","0","3"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","10","10","1","35.888168","0","10"
"/Game/Assets/Models/Meshes/standardSurface1.standardSurface1","0","3","3","1","9.920180","0","3"
"/Game/Assets/Models/Meshes/lambert4.lambert4","0","3","3","1","10.020602","0","3"
"/Game/Assets/Models/Meshes/lambert10.lambert10","0","3","0","1","0.000000","0","0"
"/Game/Assets/Characters/Materials/Franklin/M_hat.M_hat","0","6","6","1","17.300585","0","6"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","30","0","1","0.000000","0","0"
"/Game/Assets/Models/MeshMats/lambert12.lambert12","0","3","0","1","0.000000","0","0"
"Globals","49","10300","0","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","8","8","1","10.016760","0","8"
"","49","64","0","1","0.000000","65","0"
