"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","3.015410","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","1.505617","0","3"
"/Game/Assets/Characters/Materials/Fig/figEye_shader.figEye_shader","0","6","6","1","7.322475","0","6"
"/Game/Assets/Characters/Materials/Fig/figEyeGlint_shader.figEyeGlint_shader","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Fig/figMain_shader.figMain_shader","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Fig/figLight_shader.figLight_shader","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Franklin/M_hatStripe.M_hatStripe","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Franklin/M_overalls.M_overalls","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Franklin/M_foxBrown.M_foxBrown","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Franklin/M_eye.M_eye","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Franklin/M_wheat.M_wheat","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Franklin/M_foxOrange.M_foxOrange","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Franklin/M_eyeGlint.M_eyeGlint","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Lottie/M_earring.M_earring","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Lottie/M_bunnyLight.M_bunnyLight","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Lottie/M_bunnyDark.M_bunnyDark","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Lottie/M_eye.M_eye","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Lottie/M_eyeGlint.M_eyeGlint","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Lottie/M_boot.M_boot","0","6","6","1","0.000000","0","6"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","88","88","1","854.196350","0","88"
"/Game/Assets/Models/MiscMats/grassPatchy/M_grass.M_grass","0","22","22","2","18.006371","3","28"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","41","46","6","37.945446","0","46"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","1.043525","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","6","1","6.642714","0","6"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","2.438082","0","3"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","3","3","1","2.347347","0","3"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","1.220350","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","7","9","1","10.396907","0","9"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","5.819926","0","6"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","12","1","14.299276","0","12"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","1.252585","0","3"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","12","14","1","15.327394","0","14"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.878130","0","2"
"/InterchangeAssets/gltf/M_Default.M_Default","0","110","128","6","300.666504","0","128"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","3.069108","0","5"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","6","6","1","6.727672","0","6"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","4.881385","0","6"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","102","112","6","251.449142","0","112"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","9","9","1","9.266062","0","9"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","6","6","2","6.517882","0","6"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","12","14","1","14.019015","0","14"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","28","28","2","396.865601","0","28"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","102","112","6","215.843033","0","112"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","6","7","1","5.382417","0","7"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","110","128","6","242.844009","0","128"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","33","36","1","31.939976","0","36"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","33","36","1","0.000000","0","36"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","57","63","1","53.949451","0","63"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","2.321302","0","2"
"/Game/Assets/Models/Meshes/M_glass.M_glass","0","3","3","1","2.486276","0","3"
"/Game/Assets/Models/Meshes/lightBrown.lightBrown","0","3","3","1","2.489200","0","3"
"/Game/Assets/Models/Meshes/lambert1.lambert1","0","3","3","1","0.000000","0","3"
"/Game/Assets/Models/Meshes/lambert8.lambert8","0","3","3","1","0.000000","0","3"
"/Game/Assets/Models/Meshes/lambert2.lambert2","0","3","3","1","2.750365","0","3"
"/Game/Assets/Models/Meshes/lambert9.lambert9","0","3","3","1","0.000000","0","3"
"/Game/Assets/Models/Meshes/lambert7.lambert7","0","3","3","1","2.831609","0","3"
"/Game/Assets/Models/MeshMats/lambert8.lambert8","0","3","3","1","2.582283","0","3"
"/Game/Assets/Models/MeshMats/cartBase1.cartBase1","0","3","3","1","2.557658","0","3"
"/Game/Assets/Models/Meshes/darkBrown.darkBrown","0","3","3","1","2.467785","0","3"
"/Game/Assets/Models/MeshMats/leaves.leaves","0","3","3","1","2.523498","0","3"
"/Game/Assets/Models/lambert5.lambert5","0","3","3","1","2.512730","0","3"
"/Game/Assets/Models/Meshes/M_stove.M_stove","0","3","3","1","2.377690","0","3"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","82","92","6","80.393425","0","92"
"/Game/Assets/Models/Meshes/M_stovetopMetalBurner.M_stovetopMetalBurner","0","3","3","1","2.325252","0","3"
"/Game/Assets/Stylized_Nature_Set/Materials/M_layered_Master.M_layered_Master","0","12","12","2","6.742712","0","12"
"/Game/StylizedEnvironment/Material/Material/M_GrassMaterial.M_GrassMaterial","0","120","132","3","159.097733","0","132"
"/Game/Assets/Models/MeshMats/burgundy.burgundy","0","3","3","1","2.371727","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","25","25","1","13.836370","0","25"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","50.967587","0","32"
"/Game/Assets/Models/MeshMats/lambert13.lambert13","0","6","6","1","5.903499","0","6"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","0","13","13","1","8.092473","0","13"
"/Game/Assets/Stylized_Nature_Set/Materials/M_Grass_Master.M_Grass_Master","0","26","28","1","31.322931","0","28"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","49.645454","0","32"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","30","35","1","33.121960","0","35"
"/Game/Assets/Models/MeshMats/lambert12.lambert12","0","3","3","1","2.359765","0","3"
"/Game/Assets/Characters/Materials/Franklin/M_hat.M_hat","0","6","6","1","4.756230","0","6"
"/Game/Assets/Models/MeshMats/lambert1.lambert1","0","3","3","1","0.000000","0","3"
"/Game/Assets/Models/Meshes/lambert3.lambert3","0","3","3","1","2.355855","0","3"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","0","13","13","1","7.276600","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","0","13","13","1","6.489049","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","0","23","25","1","20.819683","0","25"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","2.078070","0","2"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","0","23","25","1","18.813177","0","25"
"/Game/Assets/Stylized_Nature_Set/Materials/M_Leaves_Master.M_Leaves_Master","0","28","32","1","40.531181","0","32"
"/Game/Assets/PNGs/mooMaterial.mooMaterial","0","14","16","1","16.670929","0","16"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","10","10","1","9.382030","0","10"
"/Game/Assets/Models/Meshes/lambert10.lambert10","0","3","3","1","2.350210","0","3"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","4.429209","0","7"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","14","16","1","16.395617","0","16"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","33","33","1","31.850700","0","33"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","46.610340","0","42"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","14.467034","0","25"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","2.360261","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","1.398373","0","5"
"/Game/Assets/Models/Meshes/lambert4.lambert4","0","3","3","1","2.384022","0","3"
"/Game/Assets/Models/Meshes/lambert11.lambert11","0","3","3","1","2.391253","0","3"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","6","6","1","6.347262","0","6"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","6","6","1","4.771508","0","6"
"/Game/Assets/Models/Meshes/lambert6.lambert6","0","3","3","1","2.345521","0","3"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","9","9","1","3.397609","0","9"
"/Game/Assets/Models/Meshes/standardSurface1.standardSurface1","0","3","3","1","2.332383","0","3"
"/ControlRig/M_Manip.M_Manip","0","6","7","1","6.860328","0","7"
"/Game/Assets/Models/Meshes/lambert5.lambert5","0","3","3","1","2.611857","0","3"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","6.697199","0","6"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","2.256477","0","2"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","9.804801","0","10"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","6","7","1","8.030175","0","7"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","57","63","1","77.522057","0","63"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","24","24","1","33.537128","0","24"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","3.095169","0","5"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","333","0","1","0.000000","0","0"
"Globals","49","10300","0","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","8","8","1","9.757298","0","8"
"","49","64","0","1","0.000000","65","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","8","8","1","9.506055","0","8"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","12","14","1","18.621290","0","14"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","7","7","1","9.098421","0","7"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","19","21","1","16.807829","0","21"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","10","11","1","7.312008","0","11"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","10","10","1","9.546332","0","10"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","7","7","1","1.826688","0","7"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","49","11","11","1","10.899043","0","11"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","27","27","1","33.720558","0","27"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","49","17","19","1","14.717687","0","19"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","49","42","45","1","37.666561","0","45"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","11","12","1","15.319396","0","12"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","67","67","1","46.486275","0","67"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","49","72","78","1","111.573624","0","78"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","49","42","45","1","0.000000","0","45"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","10","11","1","16.182739","0","11"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","22","24","1","53.275566","0","24"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","8","8","1","13.881823","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","14","14","1","26.159042","0","14"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","8","8","1","10.488974","0","8"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","8","8","1","14.873433","0","8"
"/Engine/VREditor/TransformGizmo/Main.Main","49","8","8","1","12.925901","0","8"
"/Game/Assets/Characters/Materials/Fig/figEye_shader.figEye_shader","49","11","11","1","0.000000","0","11"
"/Game/Assets/Characters/Materials/Fig/figLight_shader.figLight_shader","49","11","11","1","0.000000","0","11"
"/Game/Assets/Characters/Materials/Fig/figEyeGlint_shader.figEyeGlint_shader","49","11","11","1","0.000000","0","11"
"/Game/Assets/Characters/Materials/Fig/figMain_shader.figMain_shader","49","11","11","1","0.000000","0","11"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","49","7","7","1","3.114214","0","7"
"/Game/Assets/Models/Meshes/lightBrown.lightBrown","49","8","8","1","4.061689","0","8"
"/Game/Assets/Models/Meshes/lambert1.lambert1","49","8","8","1","3.683475","0","8"
"/Game/Assets/Models/Meshes/lambert7.lambert7","49","8","8","1","3.895055","0","8"
"/Game/Assets/Models/Meshes/lambert9.lambert9","49","8","8","1","3.874824","0","8"
"/Game/Assets/Models/Meshes/lambert8.lambert8","49","8","8","1","0.000000","0","8"
"/Game/Assets/Models/Meshes/M_stovetopMetalBurner.M_stovetopMetalBurner","49","8","8","1","3.787306","0","8"
"/Game/Assets/Models/Meshes/M_stove.M_stove","49","8","8","1","3.840405","0","8"
"/Game/Assets/Models/Meshes/darkBrown.darkBrown","49","8","8","1","3.966269","0","8"
"/Game/Assets/Models/MeshMats/leaves.leaves","49","8","8","1","3.817056","0","8"
"/Game/Assets/Models/MeshMats/lambert8.lambert8","49","8","8","1","3.863578","0","8"
"/Game/Assets/Models/MeshMats/burgundy.burgundy","49","8","8","1","3.713496","0","8"
"/Game/Assets/Models/lambert5.lambert5","49","8","8","1","3.719549","0","8"
"/Game/Assets/Models/MeshMats/cartBase1.cartBase1","49","8","8","1","3.704921","0","8"
"/Game/Assets/Models/MeshMats/lambert13.lambert13","49","21","21","1","27.715643","0","21"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","49","41","46","1","31.800690","0","46"
"/Game/Assets/Models/MeshMats/lambert1.lambert1","49","13","13","1","14.081040","0","13"
"/Game/Assets/Models/MeshMats/lambert12.lambert12","49","13","13","1","18.039499","0","13"
"/Game/Assets/Characters/Materials/Franklin/M_hatStripe.M_hatStripe","49","11","11","1","0.000000","0","11"
"/Game/Assets/Characters/Materials/Franklin/M_overalls.M_overalls","49","11","11","1","0.000000","0","11"
"/Game/Assets/Characters/Materials/Franklin/M_foxBrown.M_foxBrown","49","11","11","1","0.000000","0","11"
"/Game/Assets/Characters/Materials/Franklin/M_eye.M_eye","49","11","11","1","0.000000","0","11"
"/Game/Assets/Characters/Materials/Franklin/M_wheat.M_wheat","49","11","11","1","0.000000","0","11"
"/Game/Assets/Characters/Materials/Franklin/M_foxOrange.M_foxOrange","49","11","11","1","0.000000","0","11"
"/Game/Assets/Characters/Materials/Franklin/M_hat.M_hat","49","11","11","1","6.267392","0","11"
"/Game/Assets/Characters/Materials/Franklin/M_eyeGlint.M_eyeGlint","49","11","11","1","0.000000","0","11"
